ecad_id,building_id,address_line_1,address_line_2,address_line_3,address_line_4,address_line_5,address_line_6,address_line_7,address_line_8,address_line_9,etrs89_lat,etrs89_long
1700015484,1400072397,31 CHAPEL STREET,SLIGO,F91 K402,,,,,,,54.269817,-8.471138
1700015488,1400072894,22 MAIL COACH ROAD,SLIGO,F91 YPY7,,,,,,,54.266068,-8.472077
1700019562,1401374452,CHAPLAIN'S RESIDENCE,ATLANTIC TECHNOLOGICAL UNIVERSITY,CLOGHEREVAGH,CO. SLIGO,F91 XW98,,,,,54.259381,-8.383998
1700030305,1401795485,BARRACK ROAD,COLLOONEY,CO. SLIGO,F91 D780,,,,,,54.183281,-8.490022
1700031632,1401731665,MOLLAGH,CLOONACOOL,CO. SLIGO,F91 WD68,,,,,,54.109285,-8.776435
1700040544,1401768705,RATHLEE,EASKEY,CO. SLIGO,F26 NP74,,,,,,54.284855,-9.049275
1700041125,1400071618,2 PATTON HOUSE,OAKFIELD ROAD,BALLYDOOGAN,SLIGO,F91 AE84,,,,,54.266348,-8.496093
1700042473,1400655947,CLARAGH IRISH,LAVAGH,BALLYMOTE,CO. SLIGO,F56 YY89,,,,,54.115574,-8.625956
1700049294,1400075563,23 OLD FORT ROAD,KEVINSFORT,SLIGO,F91 XD80,,,,,,54.268258,-8.502060
1700049295,1400264459,4 MULBERRY PARK,BALLINODE,SLIGO,F91 RW01,,,,,,54.279090,-8.452309
1700049296,1401702725,CARA,KILLASPUGBRONE,STRANDHILL,CO. SLIGO,F91 VW70,,,,,54.269562,-8.592473
1700049297,1400396076,20 RADHARC NA MARA,STRANDHILL,CO. SLIGO,F91 NW62,,,,,,54.269084,-8.596894
1700049299,1401787274,16 WOODBROOK HEIGHTS,BALLISODARE,CO. SLIGO,F91 FP28,,,,,,54.211855,-8.513555
1700049610,1400171792,FARRANMACFARRELL,DROMORE WEST,CO. SLIGO,F26 VH50,,,,,,54.232267,-8.875439
1700050171,1401807182,LIGGAN,BALLINFULL,CO. SLIGO,F91 AW73,,,,,,54.353167,-8.628090
1700050172,1400623007,LIGGAN LODGE,LIGGAN,BALLINFULL,CO. SLIGO,F91 E983,,,,,54.356620,-8.625239
1700050585,1400831574,CLOGHER BEG,CLOGHEREVAGH,CO. SLIGO,F91 AP52,,,,,,54.264924,-8.374257
1700050609,1400584253,BUNNANILRA,CASTLECONOR,BALLINA,CO. SLIGO,F26 C663,,,,,54.165439,-9.093500
1700050677,1400229594,BANADA HOUSE,BANADA,TOURLESTRANE,CO. SLIGO,F91 DX48,,,,,54.036395,-8.815010
1700051040,1401350275,17 ÁRD FINN GROVE,SLIGO,F91 K798,,,,,,,54.272474,-8.491326
1700051235,1401713293,RED COTTAGE,SHANNON EIGHTER,SLIGO,F91 PY24,,,,,,54.293443,-8.473221
1700052639,1401789794,CARROWCUSHCLY,BALLYMOTE,CO. SLIGO,F56 A030,,,,,,54.129337,-8.515571
