ecad_id,Asset_id,Program/product,term,Mortgage Outstanding Balance,Rate/margin,Disbursment Data ( start MTG Date),Completion Data ( Closing MTG Date),Initial Borrow capital,Loan to Value,Monthly repayment,Next due payment date,Monthly capital repayment with zero interest,Months already paid,Months due paid,Property Valuation,Customer Initial deposit
1700015484,10000001,30Yr fixed,360,"£191,666.20",5.30%,01/01/2017,01/01/2047,250000,80%,"£1,388.27",01/01/2023,£694.45,84,276,312500,62500
1700015488,10000002,5/1 ARM,360,"£229,999.44",6.20%,02/01/2017,02/01/2047,300000,90%,"£1,837.41",02/01/2023,£833.34,84,276,333333.3333,33333.33333
1700019562,10000003,15Yr fixed,360,"£279,833.24",6.35%,03/01/2017,03/01/2047,365000,85%,"£2,271.17",03/01/2023,"£1,013.89",84,276,429411.7647,64411.76471
1700030305,10000004,30Yr fixed,360,"£306,665.92",5.30%,04/01/2017,04/01/2047,400000,75%,"£2,221.22",04/01/2023,"£1,111.12",84,276,533333.3333,133333.3333
1700031632,10000005,5/1 ARM,360,"£191,666.20",6.20%,05/01/2017,05/01/2047,250000,80%,"£1,531.18",05/01/2023,£694.45,84,276,312500,62500
1700040544,10000006,15Yr fixed,360,"£344,999.16",6.35%,06/01/2017,06/01/2047,450000,90%,"£2,800.07",06/01/2023,"£1,250.01",84,276,500000,50000
1700041125,10000007,30Yr fixed,360,"£191,666.20",5.30%,07/01/2017,07/01/2047,250000,85%,"£1,388.27",07/01/2023,£694.45,84,276,294117.6471,44117.64706
1700042473,10000008,5/1 ARM,360,"£191,666.20",6.20%,08/01/2017,08/01/2047,250000,75%,"£1,531.18",08/01/2023,£694.45,84,276,333333.3333,83333.33333
1700049294,10000009,15Yr fixed,360,"£459,999.72",6.35%,09/01/2017,09/01/2047,600000,80%,"£3,733.42",09/01/2023,"£1,666.67",84,276,750000,150000
1700049295,10000010,30Yr fixed,360,"£191,666.20",5.30%,10/01/2017,10/01/2047,250000,90%,"£1,388.27",10/01/2023,£694.45,84,276,277777.7778,27777.77778
1700049296,10000011,5/1 ARM,360,"£192,049.44",6.20%,11/01/2017,11/01/2047,250500,85%,"£1,534.24",11/01/2023,£695.84,84,276,294705.8824,44205.88235
1700049297,10000012,15Yr fixed,360,"£264,499.44",6.35%,12/01/2017,12/01/2047,345000,75%,"£2,146.72",12/01/2023,£958.34,84,276,460000,115000
1700049299,10000013,30Yr fixed,360,"£243,032.96",5.30%,13/01/2017,13/01/2047,317000,80%,"£1,760.32",13/01/2023,£880.56,84,276,396250,79250
1700049610,10000014,5/1 ARM,360,"£582,665.92",6.20%,14/01/2017,14/01/2047,760000,90%,"£4,654.77",14/01/2023,"£2,111.12",84,276,844444.4444,84444.44444
1700050171,10000015,15Yr fixed,360,"£191,666.20",6.35%,15/01/2017,15/01/2047,250000,85%,"£1,555.59",15/01/2023,£694.45,84,276,294117.6471,44117.64706
1700050172,10000016,30Yr fixed,360,"£191,666.20",5.30%,16/01/2017,16/01/2047,250000,75%,"£1,388.27",16/01/2023,£694.45,84,276,333333.3333,83333.33333
1700050585,10000017,5/1 ARM,360,"£229,999.44",6.20%,17/01/2017,17/01/2047,300000,80%,"£1,837.41",17/01/2023,£833.34,84,276,375000,75000
1700050609,10000018,15Yr fixed,360,"£279,833.24",6.35%,18/01/2017,18/01/2047,365000,90%,"£2,271.17",18/01/2023,"£1,013.89",84,276,405555.5556,40555.55556
1700050677,10000019,30Yr fixed,360,"£306,665.92",5.30%,19/01/2017,19/01/2047,400000,85%,"£2,221.22",19/01/2023,"£1,111.12",84,276,470588.2353,70588.23529
1700051040,10000020,5/1 ARM,360,"£191,666.20",6.20%,20/01/2017,20/01/2047,250000,75%,"£1,531.18",20/01/2023,£694.45,84,276,333333.3333,83333.33333
1700051235,10000021,15Yr fixed,360,"£344,999.16",6.35%,21/01/2017,21/01/2047,450000,80%,"£2,800.07",21/01/2023,"£1,250.01",84,276,562500,112500
1700052639,10000022,30Yr fixed,360,"£191,666.20",5.30%,22/01/2017,22/01/2047,250000,90%,"£1,388.27",22/01/2023,£694.45,84,276,277777.7778,27777.77778
1700053128,10000023,5/1 ARM,360,"£191,666.20",6.20%,23/01/2017,23/01/2047,250000,85%,"£1,531.18",23/01/2023,£694.45,84,276,294117.6471,44117.64706
1700053636,10000024,15Yr fixed,360,"£459,999.72",6.35%,24/01/2017,24/01/2047,600000,75%,"£3,733.42",24/01/2023,"£1,666.67",84,276,800000,200000
1700054067,10000025,30Yr fixed,360,"£191,666.20",5.30%,25/01/2017,25/01/2047,250000,80%,"£1,388.27",25/01/2023,£694.45,84,276,312500,62500
1700054068,10000026,5/1 ARM,360,"£192,049.44",6.20%,26/01/2017,26/01/2047,250500,90%,"£1,534.24",26/01/2023,£695.84,84,276,278333.3333,27833.33333
1700054945,10000027,15Yr fixed,360,"£264,499.44",6.35%,27/01/2017,27/01/2047,345000,85%,"£2,146.72",27/01/2023,£958.34,84,276,405882.3529,60882.35294
