Internal ID,Portfolio name,Msn,Aircraft Manufacturer,Aircraft Icao,Aircraft Variant,Year of manufacture,Aircraft Registration,Former registration,Portfolio member from date,Portfolio member to date,Loan Participation Percent,Client Ref
41655,First Derivative Sandbox,9193,AIRBUS,A20N,A320-200N,2019,RA73454,VQBTL,01/01/2022,31/12/2022,100.00,
41656,First Derivative Sandbox,8890,AIRBUS,A20N,A320-200N,2019,RA73451,VPBWT,01/01/2022,31/12/2022,100.00,
41657,First Derivative Sandbox,60434,BOEING,B38M,B737-8,2019,XADAE,N712BA,01/01/2022,31/12/2022,100.00,
41658,First Derivative Sandbox,60455,BOEING,B38M,B737-8,2019,XADAH,,01/01/2022,31/12/2022,100.00,
41659,First Derivative Sandbox,43798,BOEING,B38M,B737-8,2019,XADAI,,01/01/2022,31/12/2022,100.00,
41660,First Derivative Sandbox,61855,BOEING,B38M,B737-8,2019,XADAJ,,01/01/2022,31/12/2022,100.00,
41661,First Derivative Sandbox,60227,BOEING,B38M,B737-8,2019,XADAL,,01/01/2022,31/12/2022,100.00,
41662,First Derivative Sandbox,43976,BOEING,B38M,B737-8,2019,XADAO,,01/01/2022,31/12/2022,100.00,
41663,First Derivative Sandbox,62426,BOEING,B38M,B737-8,2019,XADAQ,,01/01/2022,31/12/2022,100.00,
41664,First Derivative Sandbox,62427,BOEING,B38M,B737-8,2020,XADAT,,01/01/2022,31/12/2022,100.00,
41665,First Derivative Sandbox,43717,BOEING,B39M,B737-9,2022,XAJGQ,,01/01/2022,31/12/2022,100.00,
41666,First Derivative Sandbox,43718,BOEING,B39M,B737-9,2022,XAJSO,,01/01/2022,31/12/2022,100.00,
41667,First Derivative Sandbox,43705,BOEING,B38M,B737-8,2018,XAMAK,,01/01/2022,31/12/2022,100.00,
41668,First Derivative Sandbox,43710,BOEING,B38M,B737-8,2018,XAMAQ,,01/01/2022,31/12/2022,100.00,
41669,First Derivative Sandbox,43310,BOEING,B38M,B737-8,2019,XAMFM,,01/01/2022,31/12/2022,100.00,
41670,First Derivative Sandbox,60714,BOEING,B38M,B737-8,2019,XAMFN,,01/01/2022,31/12/2022,100.00,
41671,First Derivative Sandbox,60444,BOEING,B38M,B737-8,2019,XAMJI,,01/01/2022,31/12/2022,100.00,
41672,First Derivative Sandbox,44483,BOEING,B38M,B737-8,2020,N302SS,,01/01/2022,31/12/2022,100.00,
41673,First Derivative Sandbox,44488,BOEING,B38M,B737-8,2021,N306SW,,01/01/2022,31/12/2022,100.00,
41674,First Derivative Sandbox,44472,BOEING,B38M,B737-8,2019,N316SE,,01/01/2022,31/12/2022,100.00,
41675,First Derivative Sandbox,44473,BOEING,B38M,B737-8,2019,N318SF,,01/01/2022,31/12/2022,100.00,
41676,First Derivative Sandbox,44474,BOEING,B38M,B737-8,2019,N323SG,,01/01/2022,31/12/2022,100.00,
41677,First Derivative Sandbox,44475,BOEING,B38M,B737-8,2019,N326SJ,,01/01/2022,31/12/2022,100.00,
41678,First Derivative Sandbox,44477,BOEING,B38M,B737-8,2019,N327SK,,01/01/2022,31/12/2022,100.00,
41679,First Derivative Sandbox,44478,BOEING,B38M,B737-8,2019,N334SM,,01/01/2022,31/12/2022,100.00,
41680,First Derivative Sandbox,44481,BOEING,B38M,B737-8,2019,N335SN,,01/01/2022,31/12/2022,100.00,
41681,First Derivative Sandbox,44482,BOEING,B38M,B737-8,2020,N336SR,,01/01/2022,31/12/2022,100.00,
41682,First Derivative Sandbox,44484,BOEING,B38M,B737-8,2020,N338ST,,01/01/2022,31/12/2022,100.00,
41683,First Derivative Sandbox,44487,BOEING,B38M,B737-8,2021,N341SV,,01/01/2022,31/12/2022,100.00,
41684,First Derivative Sandbox,10173,AIRBUS,A21N,A321-200NX(LR),2021,PRYJD,,01/01/2022,31/12/2022,100.00,
41685,First Derivative Sandbox,10070,AIRBUS,A20N,A320-200N,2020,PRYSG,,01/01/2022,31/12/2022,100.00,
41686,First Derivative Sandbox,1566,AIRBUS,A320,A320-200,2001,9HLOP,OELOP,01/01/2022,31/12/2022,100.00,
41687,First Derivative Sandbox,1793,AIRBUS,A320,A320-200,2002,ECILR,,01/01/2022,31/12/2022,100.00,
41688,First Derivative Sandbox,43996,BOEING,B38M,B737-8,2019,PRXML,,01/01/2022,31/12/2022,100.00,
41689,First Derivative Sandbox,61807,BOEING,B38M,B737-8,2019,CFLKC,,01/01/2022,31/12/2022,100.00,
41690,First Derivative Sandbox,64941,BOEING,B38M,B737-8,2019,CFLEJ,,01/01/2022,31/12/2022,100.00,
41691,First Derivative Sandbox,10052,AIRBUS,A20N,A320-200N,2020,ECNIY,,01/01/2022,31/12/2022,100.00,
41692,First Derivative Sandbox,10069,AIRBUS,A20N,A320-200N,2020,XAVSJ,CCAWP,01/01/2022,31/12/2022,100.00,
41693,First Derivative Sandbox,10112,AIRBUS,A20N,A320-200N,2020,HALJC,,01/01/2022,31/12/2022,100.00,
41694,First Derivative Sandbox,10131,AIRBUS,A20N,A320-200N,2020,JA201P,,01/01/2022,31/12/2022,100.00,
41695,First Derivative Sandbox,10139,AIRBUS,A20N,A320-200N,2020,RA73449,VQBSF,01/01/2022,31/12/2022,100.00,
41696,First Derivative Sandbox,10151,AIRBUS,A21N,A321-200NX,2021,VTILN,,01/01/2022,31/12/2022,100.00,
41697,First Derivative Sandbox,10160,AIRBUS,A20N,A320-200N,2020,VPBSL,FWWIY,01/01/2022,31/12/2022,100.00,
41698,First Derivative Sandbox,10175,AIRBUS,A20N,A320-200N,2020,RA73450,VPBSR,01/01/2022,31/12/2022,100.00,
41699,First Derivative Sandbox,10180,AIRBUS,A20N,A320-200N,2021,RA73732,VPBRG,01/01/2022,31/12/2022,100.00,
41700,First Derivative Sandbox,10240,AIRBUS,A21N,A321-200NX,2020,VTILM,,01/01/2022,31/12/2022,100.00,
41701,First Derivative Sandbox,10258,AIRBUS,A20N,A320-200N,2021,RA73733,VPBPM,01/01/2022,31/12/2022,100.00,
41702,First Derivative Sandbox,10268,AIRBUS,A20N,A320-200N,2020,B320Z,,01/01/2022,31/12/2022,100.00,
41703,First Derivative Sandbox,10273,AIRBUS,A21N,A321-200NX,2021,RPC4126,,01/01/2022,31/12/2022,100.00,
41704,First Derivative Sandbox,10305,AIRBUS,A21N,A321-200NX,2021,SXNAD,,01/01/2022,31/12/2022,100.00,
41705,First Derivative Sandbox,10314,AIRBUS,A21N,A321-200NX,2021,RA73704,VPBRC,01/01/2022,31/12/2022,100.00,
41706,First Derivative Sandbox,10316,AIRBUS,A20N,A320-200N,2021,N936NK,,01/01/2022,31/12/2022,100.00,
41707,First Derivative Sandbox,10323,AIRBUS,A21N,A321-200NX,2021,VTILD,,01/01/2022,31/12/2022,100.00,
41708,First Derivative Sandbox,10327,AIRBUS,A20N,A320-200N,2020,N376FR,,01/01/2022,31/12/2022,100.00,
41709,First Derivative Sandbox,10341,AIRBUS,A21N,A321-200NX,2021,VTILF,,01/01/2022,31/12/2022,100.00,
41710,First Derivative Sandbox,10354,AIRBUS,A21N,A321-200NX,2021,VTILH,,01/01/2022,31/12/2022,100.00,
41711,First Derivative Sandbox,10370,AIRBUS,A21N,A321-200NX,2021,9HWAP,HALVY,01/01/2022,31/12/2022,100.00,
41712,First Derivative Sandbox,10373,AIRBUS,A21N,A321-200NX,2022,9VNCH,,01/01/2022,31/12/2022,100.00,
41713,First Derivative Sandbox,10390,AIRBUS,A21N,A321-200NX,2021,9VNCF,,01/01/2022,31/12/2022,100.00,
41714,First Derivative Sandbox,10393,AIRBUS,A21N,A321-200NX,2021,9HWAQ,HALZC,01/01/2022,31/12/2022,100.00,
41715,First Derivative Sandbox,10407,AIRBUS,A20N,A320-200N,2021,SERUE,,01/01/2022,31/12/2022,100.00,
41716,First Derivative Sandbox,10412,AIRBUS,A21N,A321-200NX,2021,HL8357,,01/01/2022,31/12/2022,100.00,
41717,First Derivative Sandbox,10425,AIRBUS,A20N,A320-200N,2021,XAVSH,FWWDU,01/01/2022,31/12/2022,100.00,
41718,First Derivative Sandbox,10476,AIRBUS,A21N,A321-200NX,2021,RA73802,VPBFI,01/01/2022,31/12/2022,100.00,
41719,First Derivative Sandbox,10492,AIRBUS,A21N,A321-200NX,2022,9VNCI,,01/01/2022,31/12/2022,100.00,
41720,First Derivative Sandbox,10498,AIRBUS,A20N,A320-200N,2021,B324D,,01/01/2022,31/12/2022,100.00,
41721,First Derivative Sandbox,10508,AIRBUS,A21N,A321-200NX,2021,9HWAT,HALZH,01/01/2022,31/12/2022,100.00,
41722,First Derivative Sandbox,10099,AIRBUS,A21N,A321-200NX,2020,HALVO,,01/01/2022,31/12/2022,100.00,
41723,First Derivative Sandbox,10117,AIRBUS,A21N,A321-200N,2020,JA150A,,01/01/2022,31/12/2022,100.00,
