"ID","UPRN","EASTING","NORTHING","LATITUDE","LONGITUDE"
1,147,358754.72,179718.88,51.5148769,-2.5957762
2,148,358946,179716,51.514865,-2.5930195
7,155,358974,179709,51.5148041,-2.5926152
8,157,358763,179704,51.5147437,-2.5956551
9,172,358792,179695,51.5146649,-2.5952362
3,180,356788,179691,51.5144786,-2.6241135
4,183,356598,179689,51.514446,-2.6268512
5,186,358874,179687,51.514599,-2.5940536
6,198,358725,179680,51.5145251,-2.5961999
10,223,358888,179670,51.5144472,-2.5938499
11,233,358974,179667,51.5144265,-2.5926103
12,292,358519,179648,51.5142222,-2.5991646
14,302,358862,179646,51.5142295,-2.5942217
15,322,356649,179641,51.5140184,-2.6261104
13,330,358936,179639,51.5141719,-2.5931546
17,350,358606,179632,51.5140848,-2.597909
18,368,357166,179626,51.5139231,-2.6186585
16,398,358915,179620,51.5139996,-2.593455
19,439,356448,179612,51.5137421,-2.6290033
22,482,358915,179604,51.5138557,-2.5934531
23,513,358966,179599,51.5138145,-2.5927176
20,523,357440,179596,51.5136741,-2.6147066
21,525,358379,179596,51.5137443,-2.6011758
25,567,358793,179589,51.5137119,-2.5952093
24,591,358711,179586,51.5136789,-2.5963906
28,619,358800,179583,51.5136585,-2.5951078
26,653,358928,179578,51.5136229,-2.5932627
27,654,357388,179578,51.5135083,-2.6154537
31,670,357519,179575,51.5134913,-2.6135657
32,675,357063,179574,51.5134477,-2.6201364
29,687,356365,179572,51.5133761,-2.6301943
30,707,358657,179570,51.5135311,-2.5971668
35,745,358774,179565,51.5134947,-2.5954803
33,776,357576,179561,51.5133697,-2.6127426
34,790,358928,179558,51.5134431,-2.5932604
38,797,357444,179558,51.5133327,-2.6146444
36,825,358464,179552,51.513355,-2.5999458
37,827,358036,179552,51.5133232,-2.6061131
39,868,356319,179545,51.5131298,-2.6308539
40,886,356484,179542,51.5131156,-2.6284759
43,953,357984,179532,51.5131395,-2.60686
44,955,356947,179532,51.5130612,-2.6218029
45,962,356818,179531,51.5130424,-2.6236616
46,967,358685,179531,51.5131825,-2.5967588
41,983,356847,179529,51.5130266,-2.6232435
42,989,358446,179527,51.5131289,-2.6002022
47,1004,358458,179525,51.5131118,-2.600029
48,1019,357970,179522,51.5130486,-2.6070605
49,1036,358320,179520,51.5130566,-2.6020169
52,1073,358406,179514,51.5130091,-2.600777
50,1096,358418,179508,51.512956,-2.6006034
51,1103,357183,179507,51.5128544,-2.6183991
93,1131,356573,179503,51.5127718,-2.6271886
95,1145,358759,179501,51.5129182,-2.5956889
96,1149,358371,179501,51.5128896,-2.6012798
98,1188,357568,179494,51.5127667,-2.6128498
73,1212,358463,179491,51.5128065,-2.5999529
81,1255,358392,179488,51.5127743,-2.6009757
84,1256,358974,179488,51.512817,-2.5925894
85,1258,358794,179488,51.5128039,-2.5951831
91,1267,358762,179486,51.5127835,-2.5956439
74,1374,358865,179473,51.5126742,-2.5941582
75,1390,358982,179470,51.5126558,-2.592472
77,1393,356037,179470,51.5124335,-2.6349081
94,1435,356020,179466,51.5123962,-2.6351526
99,1490,358303,179459,51.5125069,-2.6022546
76,1524,356847,179454,51.5123523,-2.6232343
78,1534,358984,179453,51.5125031,-2.5924412
79,1535,357577,179453,51.5123987,-2.6127152
82,1547,356425,179451,51.5122928,-2.6293148
86,1559,357031,179449,51.5123214,-2.6205823
87,1561,358800,179449,51.5124536,-2.595092
88,1564,357075,179449,51.5123247,-2.6199483
89,1565,358736,179449,51.512449,-2.5960142
92,1568,357910,179448,51.5123788,-2.6079162
97,1610,356424,179441,51.5122029,-2.629328
100,1638,358709,179439,51.5123571,-2.5964021
72,1654,358844,179437,51.512349,-2.5944566
83,1692,358359,179431,51.5122593,-2.6014444
90,1703,356098,179429,51.5120697,-2.634024
80,1715,357882,179429,51.5122058,-2.6083174
61,1733,358072,179426,51.512193,-2.6055793
62,1742,357194,179425,51.512118,-2.6182306
63,1745,356340,179424,51.5120435,-2.6305363
64,1747,357188,179424,51.5121086,-2.618317
66,1750,358911,179423,51.512228,-2.5934895
69,1762,358589,179421,51.5121864,-2.5981291
55,1822,357493,179412,51.5120238,-2.6139206
65,1874,356822,179405,51.5119098,-2.6235885
71,1910,357837,179402,51.5119597,-2.6089626
53,1940,358471,179398,51.5119709,-2.5998266
54,1945,356380,179396,51.5117949,-2.6299564
56,1974,358552,179393,51.5119319,-2.5986589
58,1989,357436,179391,51.5118307,-2.6147394
59,1994,358626,179391,51.5119194,-2.5975924
67,2035,355919,179385,51.5116601,-2.6365978
60,2148,358311,179370,51.5117073,-2.6021288
68,2172,356798,179366,51.5115573,-2.6239296
70,2177,355947,179365,51.5114824,-2.6361918
57,2260,358016,179355,51.5115505,-2.6063777
140,2332,356546,179343,51.5113312,-2.6275579
142,2341,358403.36,179338.22,51.5114284,-2.6007942
131,2417,355842,179330,51.5111595,-2.6377004
134,2430,357910,179328,51.5112998,-2.6079018
137,2454,357963,179323,51.5112588,-2.6071376
138,2455,358597,179323,51.5113058,-2.5980022
139,2457,357915,179323,51.5112553,-2.6078292
143,2475,356269,179320,51.511103,-2.6315465
144,2476,356283,179319,51.511095,-2.6313446
121,2516,358303,179313,51.5111942,-2.6022373
122,2518,356854,179313,51.5110851,-2.6231162
123,2522,358581,179313,51.5112148,-2.5982316
