UPRN,count,ID
76369,2,3359
76369,2,3358
25015,2,1108
25015,2,1107
57725,2,2623
57725,2,2622
503064,2,9278
503064,2,9277
120608,2,5341
120608,2,5340
61969,2,2826
61969,2,2825
588045,3,13347
588045,3,13345
588045,3,13346
46917,2,2104
46917,2,2105
229046,2,7584
229046,2,7583
253838,2,7763
253838,2,7764
95807,2,3946
95807,2,3945
106197,2,4222
106197,2,4223
106124,2,4269
106124,2,4270
176855,3,7399
176855,3,7400
176855,3,7398
107471,2,4225
107471,2,4226
108645,2,4705
108645,2,4706
119203,2,5293
119203,2,5292
84676,2,3607
84676,2,3608
262978,2,7706
262978,2,7707
51866,2,2364
51866,2,2363
73160,2,3273
73160,2,3272
104594,2,4191
104594,2,4190
327808,2,8419
327808,2,8420
133771,2,5628
133771,2,5629
100121170825,2,18059
100121170825,2,18060
55065,2,2535
55065,2,2534
100121173306,2,18041
100121173306,2,18042
140492,3,6430
140492,3,6432
140492,3,6431
77825,2,3626
77825,2,3625
