ecad_id,Asset_id,Program/product,term,Rate/margin,Disbursment Data ( start MTG Date),Completion Data ( Closing MTG Date),Initial Borrow capital,Loan to Value,Monthly repayment,Next due payment date,Monthly capital repayment with zero interest,Months already paid,Months due paid,Property Valuation,Customer Initial deposit,Mortgage Outstanding Balance
1700015484,10000001,30Yr fixed,360,0.0530,01/01/2017,01/01/2047,250000.00,0.8000,1388.27,01/02/2023,694.45,84,276,312500,62500.00,191666.20
1700015488,10000002,5/1 ARM,360,0.0620,02/01/2017,02/01/2047,300000.00,0.9000,1837.41,01/02/2023,833.34,84,276,333333.3333,33333.33,229999.44
1700019562,10000003,15Yr fixed,360,0.0635,03/01/2017,03/01/2047,365000.00,0.8500,2271.17,01/02/2023,1013.89,84,276,429411.7647,64411.76,279833.24
1700030305,10000004,30Yr fixed,360,0.0530,04/01/2017,04/01/2047,400000.00,0.7500,2221.22,01/02/2023,1111.12,84,276,533333.3333,133333.33,306665.92
1700031632,10000005,5/1 ARM,360,0.0620,05/01/2017,05/01/2047,250000.00,0.8000,1531.18,01/02/2023,694.45,84,276,312500,62500.00,191666.20
1700040544,10000006,15Yr fixed,360,0.0635,06/01/2017,06/01/2047,450000.00,0.9000,2800.07,01/02/2023,1250.01,84,276,500000,50000.00,344999.16
1700041125,10000007,30Yr fixed,360,0.0530,07/01/2017,07/01/2047,250000.00,0.8500,1388.27,01/02/2023,694.45,84,276,294117.6471,44117.65,191666.20
1700042473,10000008,5/1 ARM,360,0.0620,08/01/2017,08/01/2047,250000.00,0.7500,1531.18,01/02/2023,694.45,84,276,333333.3333,83333.33,191666.20
1700049294,10000009,15Yr fixed,360,0.0635,09/01/2017,09/01/2047,600000.00,0.8000,3733.42,01/02/2023,1666.67,84,276,750000,150000.00,459999.72
1700049295,10000010,30Yr fixed,360,0.0530,10/01/2017,10/01/2047,250000.00,0.9000,1388.27,01/02/2023,694.45,84,276,277777.7778,27777.78,191666.20
1700049296,10000011,5/1 ARM,360,0.0620,11/01/2017,11/01/2047,250500.00,0.8500,1534.24,01/02/2023,695.84,84,276,294705.8824,44205.88,192049.44
1700049297,10000012,15Yr fixed,360,0.0635,12/01/2017,12/01/2047,345000.00,0.7500,2146.72,01/02/2023,958.34,84,276,460000,115000.00,264499.44
1700049299,10000013,30Yr fixed,360,0.0530,13/01/2017,13/01/2047,317000.00,0.8000,1760.32,01/02/2023,880.56,84,276,396250,79250.00,243032.96
1700049610,10000014,5/1 ARM,360,0.0620,14/01/2017,14/01/2047,760000.00,0.9000,4654.77,01/02/2023,2111.12,84,276,844444.4444,84444.44,582665.92
1700050171,10000015,15Yr fixed,360,0.0635,15/01/2017,15/01/2047,250000.00,0.8500,1555.59,01/02/2023,694.45,84,276,294117.6471,44117.65,191666.20
1700050172,10000016,30Yr fixed,360,0.0530,16/01/2017,16/01/2047,250000.00,0.7500,1388.27,01/02/2023,694.45,84,276,333333.3333,83333.33,191666.20
1700050585,10000017,5/1 ARM,360,0.0620,17/01/2017,17/01/2047,300000.00,0.8000,1837.41,01/02/2023,833.34,84,276,375000,75000.00,229999.44
1700050609,10000018,15Yr fixed,360,0.0635,18/01/2017,18/01/2047,365000.00,0.9000,2271.17,01/02/2023,1013.89,84,276,405555.5556,40555.56,279833.24
1700050677,10000019,30Yr fixed,360,0.0530,19/01/2017,19/01/2047,400000.00,0.8500,2221.22,01/02/2023,1111.12,84,276,470588.2353,70588.24,306665.92
1700051040,10000020,5/1 ARM,360,0.0620,20/01/2017,20/01/2047,250000.00,0.7500,1531.18,01/02/2023,694.45,84,276,333333.3333,83333.33,191666.20
1700051235,10000021,15Yr fixed,360,0.0635,21/01/2017,21/01/2047,450000.00,0.8000,2800.07,01/02/2023,1250.01,84,276,562500,112500.00,344999.16
1700052639,10000022,30Yr fixed,360,0.0530,22/01/2017,22/01/2047,250000.00,0.9000,1388.27,01/02/2023,694.45,84,276,277777.7778,27777.78,191666.20
1700053128,10000023,5/1 ARM,360,0.0620,23/01/2017,23/01/2047,250000.00,0.8500,1531.18,01/02/2023,694.45,84,276,294117.6471,44117.65,191666.20
1700053636,10000024,15Yr fixed,360,0.0635,24/01/2017,24/01/2047,600000.00,0.7500,3733.42,01/02/2023,1666.67,84,276,800000,200000.00,459999.72
1700054067,10000025,30Yr fixed,360,0.0530,25/01/2017,25/01/2047,250000.00,0.8000,1388.27,01/02/2023,694.45,84,276,312500,62500.00,191666.20
1700054068,10000026,5/1 ARM,360,0.0620,26/01/2017,26/01/2047,250500.00,0.9000,1534.24,01/02/2023,695.84,84,276,278333.3333,27833.33,192049.44
1700054945,10000027,15Yr fixed,360,0.0635,27/01/2017,27/01/2047,345000.00,0.8500,2146.72,01/02/2023,958.34,84,276,405882.3529,60882.35,264499.44
1700055479,10000028,30Yr fixed,360,0.0530,28/01/2017,28/01/2047,317000.00,0.7500,1760.32,01/02/2023,880.56,84,276,422666.6667,105666.67,243032.96
1700055814,10000029,5/1 ARM,360,0.0620,29/01/2017,29/01/2047,760000.00,0.8000,4654.77,01/02/2023,2111.12,84,276,950000,190000.00,582665.92
1700056017,10000030,15Yr fixed,360,0.0635,30/01/2017,30/01/2047,250000.00,0.9000,1555.59,01/02/2023,694.45,84,276,277777.7778,27777.78,191666.20
1700056360,10000031,30Yr fixed,360,0.0530,31/01/2017,31/01/2047,250000.00,0.8500,1388.27,01/02/2023,694.45,84,276,294117.6471,44117.65,191666.20
1700057110,10000032,5/1 ARM,360,0.0620,01/02/2017,01/02/2047,300000.00,0.7500,1837.41,01/02/2023,833.34,84,276,400000,100000.00,229999.44
1700057166,10000033,15Yr fixed,360,0.0635,02/02/2017,02/02/2047,365000.00,0.8000,2271.17,01/02/2023,1013.89,84,276,456250,91250.00,279833.24
1700057306,10000034,30Yr fixed,360,0.0530,03/02/2017,03/02/2047,400000.00,0.9000,2221.22,01/02/2023,1111.12,84,276,444444.4444,44444.44,306665.92
1700057763,10000035,5/1 ARM,360,0.0620,04/02/2017,04/02/2047,250000.00,0.8500,1531.18,01/02/2023,694.45,84,276,294117.6471,44117.65,191666.20
1700059739,10000036,15Yr fixed,360,0.0635,05/02/2017,05/02/2047,450000.00,0.7500,2800.07,01/02/2023,1250.01,84,276,600000,150000.00,344999.16
1700059759,10000037,30Yr fixed,360,0.0530,06/02/2017,06/02/2047,250000.00,0.8000,1388.27,01/02/2023,694.45,84,276,312500,62500.00,191666.20
1700061658,10000038,5/1 ARM,360,0.0620,07/02/2017,07/02/2047,250000.00,0.9000,1531.18,01/02/2023,694.45,84,276,277777.7778,27777.78,191666.20
1700063764,10000039,15Yr fixed,360,0.0635,08/02/2017,08/02/2047,600000.00,0.8500,3733.42,01/02/2023,1666.67,84,276,705882.3529,105882.35,459999.72
1700063873,10000040,30Yr fixed,360,0.0530,09/02/2017,09/02/2047,250000.00,0.7500,1388.27,01/02/2023,694.45,84,276,333333.3333,83333.33,191666.20
1700064971,10000041,5/1 ARM,360,0.0620,10/02/2017,10/02/2047,250500.00,0.8000,1534.24,01/02/2023,695.84,84,276,313125,62625.00,192049.44
1700065499,10000042,15Yr fixed,360,0.0635,11/02/2017,11/02/2047,345000.00,0.9000,2146.72,01/02/2023,958.34,84,276,383333.3333,38333.33,264499.44
1700067964,10000043,30Yr fixed,360,0.0530,12/02/2017,12/02/2047,317000.00,0.8500,1760.32,01/02/2023,880.56,84,276,372941.1765,55941.18,243032.96
1700068180,10000044,5/1 ARM,360,0.0620,13/02/2017,13/02/2047,760000.00,0.7500,4654.77,01/02/2023,2111.12,84,276,1013333.333,253333.33,582665.92
1700069702,10000045,15Yr fixed,360,0.0635,14/02/2017,14/02/2047,250000.00,0.8000,1555.59,01/02/2023,694.45,84,276,312500,62500.00,191666.20
1700070521,10000046,30Yr fixed,360,0.0530,15/02/2017,15/02/2047,250000.00,0.9000,1388.27,01/02/2023,694.45,84,276,277777.7778,27777.78,191666.20
1700070658,10000047,5/1 ARM,360,0.0620,16/02/2017,16/02/2047,300000.00,0.8500,1837.41,01/02/2023,833.34,84,276,352941.1765,52941.18,229999.44
1700071937,10000048,15Yr fixed,360,0.0635,17/02/2017,17/02/2047,365000.00,0.7500,2271.17,01/02/2023,1013.89,84,276,486666.6667,121666.67,279833.24
1700071945,10000049,30Yr fixed,360,0.0530,18/02/2017,18/02/2047,400000.00,0.8000,2221.22,01/02/2023,1111.12,84,276,500000,100000.00,306665.92
1700072566,10000050,5/1 ARM,360,0.0620,19/02/2017,19/02/2047,250000.00,0.9000,1531.18,01/02/2023,694.45,84,276,277777.7778,27777.78,191666.20
1700073339,10000051,15Yr fixed,360,0.0635,20/02/2017,20/02/2047,450000.00,0.8500,2800.07,01/02/2023,1250.01,84,276,529411.7647,79411.76,344999.16
1700073357,10000052,30Yr fixed,360,0.0530,21/02/2017,21/02/2047,250000.00,0.7500,1388.27,01/02/2023,694.45,84,276,333333.3333,83333.33,191666.20
1700073513,10000053,5/1 ARM,360,0.0620,22/02/2017,22/02/2047,250000.00,0.8000,1531.18,01/02/2023,694.45,84,276,312500,62500.00,191666.20
