ecad_id,Asset_id,Program/product,term,Rate/margin,Disbursment Data ( start MTG Date),Completion Data ( Closing MTG Date),Initial Borrow capital,Loan to Value,Monthly repayment,Next due payment date,Monthly capital repayment with zero interest,Months already paid,Months due paid,Property Valuation,Customer Initial deposit
1700015484,10000001,30Yr fixed,360,0.0530,01/01/2017,01/01/2047,250000,0.8000,"£1,388.27",01/02/2023,£694.45,84,276,312500,62500
1700015488,10000002,5/1 ARM,360,0.0620,02/01/2017,02/01/2047,300000,0.9000,"£1,837.41",01/02/2023,£833.34,84,276,333333.3333,33333.33333
1700019562,10000003,15Yr fixed,360,0.0635,03/01/2017,03/01/2047,365000,0.8500,"£2,271.17",01/02/2023,"£1,013.89",84,276,429411.7647,64411.76471
1700030305,10000004,30Yr fixed,360,0.0530,04/01/2017,04/01/2047,400000,0.7500,"£2,221.22",01/02/2023,"£1,111.12",84,276,533333.3333,133333.3333
1700031632,10000005,5/1 ARM,360,0.0620,05/01/2017,05/01/2047,250000,0.8000,"£1,531.18",01/02/2023,£694.45,84,276,312500,62500
1700040544,10000006,15Yr fixed,360,0.0635,06/01/2017,06/01/2047,450000,0.9000,"£2,800.07",01/02/2023,"£1,250.01",84,276,500000,50000
1700041125,10000007,30Yr fixed,360,0.0530,07/01/2017,07/01/2047,250000,0.8500,"£1,388.27",01/02/2023,£694.45,84,276,294117.6471,44117.64706
1700042473,10000008,5/1 ARM,360,0.0620,08/01/2017,08/01/2047,250000,0.7500,"£1,531.18",01/02/2023,£694.45,84,276,333333.3333,83333.33333
1700049294,10000009,15Yr fixed,360,0.0635,09/01/2017,09/01/2047,600000,0.8000,"£3,733.42",01/02/2023,"£1,666.67",84,276,750000,150000
1700049295,10000010,30Yr fixed,360,0.0530,10/01/2017,10/01/2047,250000,0.9000,"£1,388.27",01/02/2023,£694.45,84,276,277777.7778,27777.77778
1700049296,10000011,5/1 ARM,360,0.0620,11/01/2017,11/01/2047,250500,0.8500,"£1,534.24",01/02/2023,£695.84,84,276,294705.8824,44205.88235
1700049297,10000012,15Yr fixed,360,0.0635,12/01/2017,12/01/2047,345000,0.7500,"£2,146.72",01/02/2023,£958.34,84,276,460000,115000
1700049299,10000013,30Yr fixed,360,0.0530,13/01/2017,13/01/2047,317000,0.8000,"£1,760.32",01/02/2023,£880.56,84,276,396250,79250
